"Thématiques","Critères","Accueil non connecté|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/login",Vos demandes|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/dossier,Un dossier en cours|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/dossier/O19-V7J-EJW,Une question ?|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/faq,"Mon profil|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/profil","Contact",Plan du site|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/plan,"Mentions légales","Accessibilité","CGU|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/conditions"
"10","10","c",c,c,c,"c","c",c,"c","c","c"
"10","11","c",nc,c,c,"nc","c",c,"c","nc","c"
"10","12","c",c,c,c,"c","c",c,"c","c","c"
"10","13","na",na,na,na,"na","na",na,"na","na","na"
"10","14","c",c,"nc|Les pièces jointes supplémentaires ne peuvent être rendues visibles qu'avec un dispositif de pointage (souris), cela ne fonctionne pas au clavier.",c,"c","c",c,"c","c","c"
"11","1","na",na,na,na,"na","na",na,"na","na","na"
"11","2","na",na,na,na,"na","na",na,"na","na","na"
"11","3","na",na,na,na,"na","na",na,"na","na","na"
"11","4","na",na,na,na,"na","na",na,"na","na","na"
"11","5","na",na,na,na,"na","na",na,"na","na","na"
"11","6","na",na,na,na,"na","na",na,"na","na","na"
"11","7","na",na,na,na,"na","na",na,"na","na","na"
"11","8","na",na,na,na,"na","na",na,"na","na","na"
"11","9","na",na,na,na,"na","na",na,"na","na","na"
"11","10","na",na,na,na,"na","na",na,"na","na","na"
"11","11","na",na,na,na,"na","na",na,"na","na","na"
"11","12","na",na,na,na,"na","na",na,"na","na","na"
"11","13","na",na,na,na,"na","na",na,"na","na","na"
"12","1","c",c,c,c,"c","c",c,"c","c","c"
"12","2","c|Le lien ""Une question"" sur la page d'accueil (mode non connecté) se retrouve, une fois l'usager connecté, dupliqué comme un élément de la barre de navigation en haut.","c|Le lien ""Une question"" sur la page d'accueil (mode non connecté) se retrouve, une fois l'usager connecté, dupliqué comme un élément de la barre de navigation en haut.","c|Le lien ""Une question"" sur la page d'accueil (mode non connecté) se retrouve, une fois l'usager connecté, dupliqué comme un élément de la barre de navigation en haut.",nc|La barre de navigation disparait lorsque l'on rafraichit la page (visible uniquement sur écran large),"c|Le lien ""Une question"" sur la page d'accueil (mode non connecté) se retrouve, une fois l'usager connecté, dupliqué comme un élément de la barre de navigation en haut.","nc|La barre de navigation disparait lorsque l'on rafraichit la page (visible uniquement sur écran large)","c|Le lien ""Une question"" sur la page d'accueil (mode non connecté) se retrouve, une fois l'usager connecté, dupliqué comme un élément de la barre de navigation en haut.","nc|La barre de navigation disparait lorsque l'on rafraichit la page (visible uniquement sur écran large)","nc|La barre de navigation disparait lorsque l'on rafraichit la page (visible uniquement sur écran large)","nc|La barre de navigation disparait lorsque l'on rafraichit la page (visible uniquement sur écran large)"
